,Eosinophil,pair
"('Cholangiocyte', 'Kupffer', 'Neutrophil')",0.8133,"('Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.0582,"('Cholangiocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte')",0.4285,"('Cholangiocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'LSEC', 'NK')",0.2671,"('Cholangiocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'LSEC', 'Neutrophil')",0.799,"('Cholangiocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Stellate')",-0.0928,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'NK')",0.1395,"('Cholangiocyte', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Monocyte', 'Neutrophil')",-0.0649,"('Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Monocyte', 'Stellate')",-0.0586,"('Cholangiocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'NK', 'Neutrophil')",0.6145,"('Cholangiocyte', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'NK', 'Stellate')",-0.0996,"('Cholangiocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Neutrophil', 'Stellate')",0.4199,"('Cholangiocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",0.616,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'Monocyte')",0.389,"('Hepatocyte', 'Kupffer', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'NK')",0.3842,"('Hepatocyte', 'Kupffer', 'NK')"
"('Hepatocyte', 'Kupffer', 'Neutrophil')",0.6298,"('Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Stellate')",0.3313,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte')",0.4916,"('Hepatocyte', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'LSEC', 'NK')",0.3981,"('Hepatocyte', 'LSEC', 'NK')"
"('Hepatocyte', 'LSEC', 'Neutrophil')",0.729,"('Hepatocyte', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'Stellate')",0.2737,"('Hepatocyte', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'NK')",0.2985,"('Hepatocyte', 'Monocyte', 'NK')"
"('Hepatocyte', 'Monocyte', 'Neutrophil')",0.1827,"('Hepatocyte', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'Monocyte', 'Stellate')",0.2466,"('Hepatocyte', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'NK', 'Neutrophil')",0.4714,"('Hepatocyte', 'NK', 'Neutrophil')"
"('Hepatocyte', 'NK', 'Stellate')",-0.0537,"('Hepatocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Neutrophil', 'Stellate')",0.5894,"('Hepatocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte')",-0.155,"('Kupffer', 'LSEC', 'Monocyte')"
"('Kupffer', 'LSEC', 'NK')",0.0515,"('Kupffer', 'LSEC', 'NK')"
"('Kupffer', 'LSEC', 'Neutrophil')",0.5742,"('Kupffer', 'LSEC', 'Neutrophil')"
"('Kupffer', 'LSEC', 'Stellate')",0.2843,"('Kupffer', 'LSEC', 'Stellate')"
"('Kupffer', 'Monocyte', 'NK')",-0.1218,"('Kupffer', 'Monocyte', 'NK')"
"('Kupffer', 'Monocyte', 'Neutrophil')",-0.4879,"('Kupffer', 'Monocyte', 'Neutrophil')"
"('Kupffer', 'Monocyte', 'Stellate')",-0.6877,"('Kupffer', 'Monocyte', 'Stellate')"
"('Kupffer', 'NK', 'Neutrophil')",0.3799,"('Kupffer', 'NK', 'Neutrophil')"
"('Kupffer', 'NK', 'Stellate')",-0.3176,"('Kupffer', 'NK', 'Stellate')"
"('Kupffer', 'Neutrophil', 'Stellate')",0.0947,"('Kupffer', 'Neutrophil', 'Stellate')"
"('LSEC', 'Monocyte', 'NK')",0.6345,"('LSEC', 'Monocyte', 'NK')"
"('LSEC', 'Monocyte', 'Neutrophil')",0.5596,"('LSEC', 'Monocyte', 'Neutrophil')"
"('LSEC', 'Monocyte', 'Stellate')",-0.3628,"('LSEC', 'Monocyte', 'Stellate')"
