,Neutrophil,pair
"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.6736,"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",0.7594,"('Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5883,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5323,"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5382,"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.5854,"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.5847,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.5554,"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.5884,"('Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5717,"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.402,"('Hepatocyte', 'LSEC', 'NK', 'Stellate')"
