,B,Basophil,CD4,CD8,Eosinophil,Kupffer,Monocyte,NK,Neutrophil
DAB2,0.0,0.0,0.0,0.0,2.228817594093019,11.264817169344653,3.2902439950307127,0.3035339863293789,0.0
DACT2,0.0,0.0,0.0,2.0416735145062086,0.0,0.0,0.0,0.0,0.0
DDC,0.7492559725066532,0.0,3.7478593177972916,6.912781089389755,0.0,4.319857197711497,0.0,4.025900715788812,0.0
DDR1,0.7454567554438947,0.0,7.505088748886974,5.270356033237398,1.567804841835735,0.7816589756017803,4.292159376912488,0.0,0.0
DENND2A,1.0980175970900659,1.3806744185717719,1.422986616865737,1.2318478192461935,8.697584184304874,5.312436431734063,6.3320956380780595,1.3936187787172793,3.6169549564292196
DENND5B,8.378164881782624,1.9399720438117407,1.8772958880634985,2.1789315568094283,1.816372827544725,3.7886432962044294,3.3417930512347813,0.6293015163046447,3.390713023614584
DERL3,11.784947480007148,7.720702751922944,3.778359111456206,5.534014783123163,6.856857900515491,3.098195983582725,2.8791069059523817,3.048425634391009,0.0
DGAT2,5.282821729260972,2.1287029687602517,6.104941668479167,3.6975242062031475,7.027187194922453,4.996591053345091,6.476847094254451,2.9095523967723347,11.044696990323615
DHRS7,8.28100777626069,9.75717456531826,8.516283651421292,9.523865027175827,8.828055546400885,10.255251309015286,9.801179504019784,10.190641503559611,14.112107034321902
DKK3,6.938492588694627,0.0,0.0,0.4877310380047733,0.0,0.7791854480629707,0.0,0.0,0.0
DLG5,0.0,0.0,0.0,4.930923514147721,0.0,3.337143963346368,0.527569147741026,0.0,0.0
DMPK,3.9436572457669756,5.248896728312561,0.0,3.2733816680915844,5.771760337783595,14.025845745227599,0.0,0.3020056436501113,6.067750665815907
DNASE2B,0.0,7.381804717690401,0.0,0.0,0.17951014562687168,0.0,0.0,0.0,0.0
DOCK2,10.75959407012412,10.789671599073133,10.541703923415957,10.479223122677753,10.263091427621973,8.3070311278903,10.789354397910053,13.002918659345845,10.96694561870273
DSP,0.0,0.0,0.04613387066875692,0.294807457977072,4.772427453154646,0.0,1.5660444121251875,0.0,0.0
DUSP10,6.449706207916186,4.326522055618092,10.047556196413003,8.242877838690816,3.7047740932013618,7.5486709414408955,5.606147522005964,6.94397277626195,0.0
DUSP14,6.902891474370239,0.0,2.4346187209832406,3.84784513897987,0.6507226911442718,0.0,0.0,0.0,0.0
DYSF,0.0,0.1333468547158565,0.0,0.6117472391961257,0.0,8.402332553119738,0.0,0.0,0.0
E330011O21RIK,0.0,0.0,0.0,0.0,0.0,0.2664918179029504,0.0,0.0,6.941847509353356
EAR2,0.0,6.307906077376515,0.0,6.978722943484241,18.069941925244382,11.2546410706527,10.698349085235737,0.12188387282625213,9.405958251370588
EEF1E1,8.248274589966927,7.834954787379639,10.138393061065548,8.601094988945267,7.033784015148068,7.456585545080059,6.9867088876223775,7.892443264883297,4.408403547322019
EFHD2,9.001710712282973,11.382357312358504,9.418201185278068,10.650419106573365,10.354214894365864,12.57533689811306,10.903393724977057,14.393592569591423,11.481751215769167
EFR3A,9.559357226387995,9.530290032475197,9.611264757578303,9.35474310128169,8.505468805902094,9.620222956794565,9.366436277526198,11.762952765458927,7.279132705318667
EHD2,6.585576537336575,0.0,1.0171860043921814,1.7867757268277338,0.7621206667585623,1.7076024105020835,2.254497649465965,0.0,0.0
EHF,3.4046476580862075,0.0,0.0,0.6519651854426695,0.0,0.0,0.0,0.0,0.0
EIF4EBP3,7.182322483023475,5.572740194851758,6.857743999422132,9.495095177235523,7.108531000976734,6.252581641439708,7.550804743833304,5.758764938287346,6.1906432847716335
ELP1,8.477337296959414,7.120021783164562,9.23738484089412,8.818635249634033,7.420505224762726,6.254782536624185,8.137236788205445,7.817891073136773,12.704811453667546
EPAS1,2.6932570662872672,0.0,6.637010333633997,3.4040619277673434,2.8589188781168717,3.9156718969875515,2.543129468704836,2.196083032334698,2.6523197807245977
EPHA1,0.5498247056566248,3.900218955456669,0.5969553534830472,1.5003664243273105,4.395440066457658,2.4084675319396807,2.471122139701934,3.333281384138999,8.333286491673942
ERCC6L2,12.003266615919543,7.889002390217912,6.986080631819735,7.35659130062722,5.925236549258582,6.860551405723393,6.92746823897395,7.247451841527048,5.838844716799773
ERO1LB,11.687114024406469,7.859432210947387,7.003551509481254,6.473325785854737,7.643023107949743,7.714103481790115,8.89094663676353,7.69303236607352,9.01938632863887
ESM1,0.0,0.0,0.0,3.472416796347704,1.536105750085496,1.6064904529458408,0.0,0.0,1.8628539833565694
F10,1.5705415348050864,7.4009020774278245,0.0,3.2824453615409572,8.78261311206142,6.045893019265787,11.035700684023858,0.8338207852475144,6.0444267591676795
F9,4.924922387904219,0.0,0.0,0.0,0.0,2.111239532016024,2.1144053517773975,0.0,0.0
FABP1,0.0,0.0,0.0,0.0,0.0,12.234006510676096,0.0,0.0,0.0
FABP7,0.47318791392894083,0.0,0.0,0.0,0.0,13.373827757892231,4.719253040999856,0.0,0.0
FAM110C,0.0,9.118825773031608,0.0,0.0,1.160118597655087,0.0,0.42683704259385086,0.0,0.0
FAM160A1,3.835203760299973,0.0,3.1083593252037507,1.5324720756128207,6.955994113569551,0.0,0.0,0.0,0.0
FAM174B,2.839642138359534,11.110005376939498,5.645591934960789,7.2124407469723275,8.390684401120595,5.32163713391617,3.3044135159032173,6.2218935056952525,4.617756217374545
FAM83F,2.3859009170902823,0.0,1.0096875430570291,0.8713917252341863,0.8256516524300493,0.06745806820029995,5.424188946843117,0.0,0.0
FCHSD2,11.295917806177794,4.561929098998504,7.7246845283882415,7.573660484476299,5.555995741404741,5.3766307629617085,7.062118099569025,7.36081002383941,7.70603655330723
FCNA,0.0,0.0,0.0,4.333592404510432,0.0,16.394640511564862,4.393322629863771,0.6898060688031685,8.79126050283542
FGA,0.0,0.0,0.0,0.0,0.0,8.112549969885887,0.0,0.0,0.0
FGFR1,0.47999712480214735,2.646095750688044,3.1197799654596365,3.508830947857857,10.29415602824954,6.9597707518242125,1.178871880483941,0.8302024909941244,0.0
