,Monocyte,pair
"('CD8', 'Kupffer', 'Stellate')",0.1756,"('CD8', 'Kupffer', 'Stellate')"
"('CD8', 'LSEC', 'NK')",0.8289,"('CD8', 'LSEC', 'NK')"
"('CD8', 'LSEC', 'Neutrophil')",0.5482,"('CD8', 'LSEC', 'Neutrophil')"
"('CD8', 'LSEC', 'Stellate')",0.7254,"('CD8', 'LSEC', 'Stellate')"
"('CD8', 'NK', 'Neutrophil')",0.4984,"('CD8', 'NK', 'Neutrophil')"
"('CD8', 'NK', 'Stellate')",0.8035,"('CD8', 'NK', 'Stellate')"
"('CD8', 'Neutrophil', 'Stellate')",0.583,"('CD8', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte')",0.4021,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('Cholangiocyte', 'Eosinophil', 'Kupffer')",0.3512,"('Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('Cholangiocyte', 'Eosinophil', 'LSEC')",0.251,"('Cholangiocyte', 'Eosinophil', 'LSEC')"
"('Cholangiocyte', 'Eosinophil', 'NK')",0.375,"('Cholangiocyte', 'Eosinophil', 'NK')"
"('Cholangiocyte', 'Eosinophil', 'Neutrophil')",-0.0936,"('Cholangiocyte', 'Eosinophil', 'Neutrophil')"
"('Cholangiocyte', 'Eosinophil', 'Stellate')",0.6891,"('Cholangiocyte', 'Eosinophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.1397,"('Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC')",0.6604,"('Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'NK')",0.642,"('Cholangiocyte', 'Hepatocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.5627,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Stellate')",0.6131,"('Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC')",-0.038,"('Cholangiocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Kupffer', 'NK')",0.3959,"('Cholangiocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil')",0.329,"('Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.0478,"('Cholangiocyte', 'Kupffer', 'Stellate')"
